header,class,mechanism,group
ICEberg|391|ICEBvu8482-2|GenBank|CP000139|1962094|2051867_Bacteroides_vulgatus_ATCC_8482_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,ATCC
ICEberg|305|ICESauST398-1|GenBank|AM990992|997771|1015802_Staphylococcus_aureus_subsp_aureus_ST398_complete_genome_isolate_SO385_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|400|CTn4|GenBank|AM180355|1284507|1314481_Clostridium_difficile_630_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|331|ICESpnH19A6-1|GenBank|CP000936|1302035|1322918_Streptococcus_pneumoniae_Hungary19A-6_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|55|ICEAciJS42-1|GenBank|CP000539|1287924|1407821_Acidovorax_sp_JS42_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|58|ICEBfrYCH46-1|GenBank|AP006841|114653|163822_Bacteroides_fragilis_YCH46_DNA_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|304|ICESga43143-1|GenBank|AP012053|1643376|1661407_Streptococcus_gallolyticus_subsp_gallolyticus_ATCC_43143_DNA_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|320|ICESpnTw19F14-1|GenBank|CP000921|1785161|1808701_Streptococcus_pneumoniae_Taiwan19F-14_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|315|ICESorUo5-1|GenBank|FR720602|1824518|1847810_Streptococcus_oralis_Uo5_complete_genome_sequence_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|324|ICESpnTCH8341-1|GenBank|CP001993|2004999|2031388_Streptococcus_pneumoniae_TCH8431_19A_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|82|ICESpnH034800032|GenBank|FR671414|1|20370_Streptococcus_pneumoniae_Tn916-type_integrative_and_conjugative_element_strain_H034800032_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|323|ICECdiM120-1|GenBank|FN665653|2171649|2189550_Clostridium_difficile_complete_genome_strain_M120_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|310|ICESpsHKU1003-1|GenBank|CP002439|2195642|2213672_Staphylococcus_pseudintermedius_HKU10-03_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|344|ICEBsa18170-1|GenBank|CP002530|2939772|2990351_Bacteroides_salanitronis_DSM_18170_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|314|ICECdiM68-1|GenBank|FN668375|334783|353473_Clostridium_difficile_M68_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|345|ICEBxyXB1A-1|GenBank|FP929033|4227232|4279471_Bacteroides_xylanisolvens_XB1A_draft_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|2|CTn341|GenBank|AY515263|1|51993_Bacteroides_fragilis_conjugative_transposon_CTn341_complete_sequence_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|312|ICECloUPII95-1|GenBank|CP001850|538276|556307_Clostridiales_genomosp_BVAB3_str_UPII9-5_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|313|ICESsu98HAH33-1|GenBank|CP000408|887958|905988_Streptococcus_suis_98HAH33_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|311|ICESsu05ZYH33-1|GenBank|CP000407|888251|906281_Streptococcus_suis_05ZYH33_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|309|ICESag2603VR-1|GenBank|AE009948|923465|941495_Streptococcus_agalactiae_2603V_R_complete_genome_,Integrating Conjugative Elements,ICE complete genome ,NotComplete
ICEberg|93|TcrEmr7853|GenBank|L42817|1|1076_Bacteroides_thetaiotaomicron_conjugal_transposon_Tcr_Emr_7853_rRNA_methyltransferase_gene_complete_cds_,Integrating Conjugative Elements,ICE conjugative transposon rRNA methyltransferase,TCR/EMR
ICEberg|3|CTnDOT|GenBank|AF289050|1|16256_Bacteroides_thetaiotaomicron_conjugative_transposon_CTnDOT_transfer_region_,Integrating Conjugative Elements,ICE conjugative transposon transfer region ,CTNDOT
ICEberg|308|ICESpaNUF1049|GenBank|AB468159|3016|21046_Streptococcus_parauberis_DNA_Tn916-like_element_and_flanking_region_,Integrating Conjugative Elements,ICE flanking region ,NotComplete
ICEberg|86|ICESpn11928|GenBank|FR671417|1|22793_Streptococcus_pneumoniae_Tn916-type_integrative_and_conjugative_element_strain_11928_,Integrating Conjugative Elements,ICE genome ,NotComplete
ICEberg|81|ICESpnMalM6|GenBank|FR671413|1|23032_Streptococcus_pneumoniae_Tn916-type_integrative_and_conjugative_element_strain_Mal_M6_,Integrating Conjugative Elements,ICE genome ,NotComplete
ICEberg|83|ICESpn23771|GenBank|FR671415|1|25880_Streptococcus_pneumoniae_Tn916-type_integrative_and_conjugative_element_strain_23771_,Integrating Conjugative Elements,ICE genome ,NotComplete
ICEberg|329|Tn6079|GenBank|GU951538|462|28872_Uncultured_bacterium_MID12_genomic_sequence_,Integrating Conjugative Elements,ICE genome ,NotComplete
ICEberg|383|ICEEfa9830414|GenBank|DQ206711|1|5069_Enterococcus_faecium_isolate_9830414-1_transposon_Tn5397-like_conjugative_transposon_partial_sequence_,Integrating Conjugative Elements,ICE genome ,NotComplete
ICEberg|71|ICEEc2|GenBank|GU725392|77|93971_Escherichia_coli_strain_BEN374_AGI-5_integrative_and_conjugative_element_,Integrating Conjugative Elements,ICE genome ,NotComplete
ICEberg|365|ICESpnKD6|GenBank|EU676252|1|951_Streptococcus_pneumoniae_strain_KD6_transposon_Tn916_partial_sequence_,Integrating Conjugative Elements,ICE genome ,NotComplete
ICEberg|110|bph-sal|GenBank|AY275274|1|1896_Pseudomonas_putida_strain_KF715_transposon_bph-sal_element_integrase__int__gene_complete_cds_,Integrating Conjugative Elements,ICE integrase,BPH-SAL
ICEberg|382|Tn5382_5-F9_|GenBank|AY035703|1|438_Streptococcus_lutetiensis_strain_5-F9_Tn5382-like_transposon_ligase_VanB2__vanB2__gene_partial_cds_,Integrating Conjugative Elements,ICE ligase,VAN
ICEberg|64|CTnBST|GenBank|AY345595|1|100903_Bacteroides_uniformis_strain_WH207_transposon_CTnBST_complete_sequence_,Integrating Conjugative Elements,ICE transposon ,CTnBST
ICEberg|3|CTnDOT|GenBank|AJ311171|1|16764_Bacteroides_thetaiotaomicron_transposon_CTnDOT_ermF_region_,Integrating Conjugative Elements,ICE transposon ,ERMF
ICEberg|3|CTnDOT|GenBank|AJ319661|1|3718_Bacteroides_sp_conjugative_transposon_CTnDOT_ORF3_and_exc_,Integrating Conjugative Elements,ICE transposon ,ORF
ICEberg|3|CTnDOT|GenBank|AJ431573|1|7655_Bacteroides_thetaiotaomicron_transposon_CTnDOT_xis2c_xis2d_exc_and_rteR_genes_ORF2A_ORF2B_ORF3_ORF2E_and_ORF4A_,Integrating Conjugative Elements,ICE transposon ,ORF
ICEberg|47|Tn5251_partofTn5253_|GenBank|FJ711160|1|18033_Streptococcus_pneumoniae_transposon_TN5251_complete_sequence_,Integrating Conjugative Elements,ICE transposon ,TN5251
ICEberg|307|Tn916_RST11_|GenBank|FN550102|1|18032_Staphylococcus_rostri_transposon_tn916_strain_RST11_,Integrating Conjugative Elements,ICE transposon ,TN916
ICEberg|107|TnB1230|GenBank|AJ222769|1|11849_Butyrivibrio_fibrisolvens_partial_transposon_TnB1230_,Integrating Conjugative Elements,ICE transposon ,TnB1230 
ICEberg|65|CTnGERM1|GenBank|AJ557257|1|18842_Bacteroides_ovatus_partial_transposon_CTnGERM1_,Integrating Conjugative Elements,ICE transposon ,VTNGERM1
